name,address,latitude,longitude
McDonald's Terminal Larkin,"No. 5B - 05, Ground & First Floor, Terminal Larkin, No. 4, Jalan Geroda, Larkin Jaya, 80350, Johor Bahru, Johor, Malaysia",1.495914,103.743542
McDonald's Damansara Damai DT,"Lot 36237, Jalan PJU 10/1, Damansara Damai, 47000, Sungai Buloh, Selangor, Malaysia",3.194863,101.591348
McDonald's Petronas Pelangi Indah,"Petronas Petrol Station, Lot No.105615, Jalan Pesona, Taman Pelangi Indah, 81800, Johor Bahru, Johor, Malaysia",1.582442,103.801006
McDonald's Rawang DT,"Lot PT 678, Jalan Pusat Bandar, 48000, Rawang, Selangor, Malaysia",3.320135,101.576933
McDonald's Petronas TPM DT,"Petronas Service Station, Technology Park Malaysia, 57000, Seremban KL-Highway, Kuala Lumpur, Malaysia",3.056472,101.704167
McDonald's Tesco Penang,"1-1-01 & 1-1-02, Lot A3 - 4, Jalan Udini, 11700, Gelugor, Pulau Pinang, Malaysia",5.377639,100.315522
McDonald's The Curve,"Lot No GZF-05 & GZF-06, Ground Floor, The Curve, Mutiara Damansara, 47800, Petaling Jaya, Selangor, Malaysia",3.157895,101.612793
McDonald's Equine Park DT,"Lot No. 2, Persiaran Equine Perdana, Taman Equine, 43300, Seri Kembangan, Selangor, Malaysia",2.995622,101.670181
McDonald's Ulu Kelang,"Lot 517, 276 & 277, Batu 7, Lebuhraya Lingkaran Tengah 2, MRR2, 54200, Mukim Ulu Kelang, Selangor, Malaysia",3.202419,101.760592
McDonald's Desa Aman Puri DT,"Stesyen Minyak Shell, Lot No. PT 1021 & PT 1022, Jalan Aman, Persiaran Perdana, Desa Aman Puri, 52100, Kepong, Selangor, Malaysia",3.208402,101.614491
McDonald's Tan Sri Yaacop,"No. 2, Jalan Jati, Taman Nusa Bestari Jaya, 81300, Johor Bahru, Johor, Malaysia",1.497804,103.655942
McDonald's Alamanda Putrajaya,"Alamanda Putrajaya, LG-07, Lower Ground Floor, Alamanda Shopping Complex, Jalan Alamanda, Presinct 1, 62000, Putrajaya, Kuala Lumpur, Malaysia",2.940203,101.710747
McDonald's Kulai DT,"Lot 1150, Jalan Kasturi 36/41, Indahpura, 81000, Kulai, Johor, Malaysia",1.63825,103.625639
McDonald's AEON Seremban 2,"Lot G43, Ground Floor, Jusco Seremban 2, Shopping Centre, 112 Persiaran S2, Phase B1,Seremban 2, 70300, Seremban, Negeri Sembilan, Malaysia",2.701277,101.912112
McDonald's UTM Skudai DT,"Lot PT 61054, Batu 11, Jalan Pontian, 81300, Skudai, Johor, Malaysia",1.550781,103.650714
McDonald's NKVE DT,"Lot 15385 Seksyen PJU 1A, KM 15.4 Arah Utara, Lebuh Baru Lembah Kelang, 40150, Petaling Jaya, Selangor, Malaysia",3.119258,101.592818
McDonald's Petronas Ampang DT,"D/A Petronas Servis Stesen, Jalan Kolam Ayer Lama, Lot 36904 (PT 27423), Taman Dato' Ahmad Razali, 68000, Ampang, Selangor, Malaysia",3.160058,101.754333
McDonald's Dataran Pahlawan,"Lot A02, Dataran Pahlawan Melaka Megamall, Jalan Merdeka, 75000, Bandar Hilir, Melaka, Malaysia",2.190447,102.248927
McDonald's Taman Sutera DT,"Lot PT 135893, Jalan Roda Utama, 81300, Skudai, Johor, Malaysia",1.522981,103.6785
McDonald's Queensbay Mall,"LG-87, Queensbay Mall, 100 Persiaran Bayan Indah, 11900, Bayan Lepas, Pulau Pinang, Malaysia",5.333397,100.306286
McDonald's Bandar Tun Hussein Onn DT ,"Lot PT 18150 & PT 18151, Jalan Suasana 2/2, Bandar Tun Hussein Onn, 43200, Cheras, Selangor, Malaysia",3.050129,101.765281
McDonald's Jusco Balakong,"Lot G46, Ground Floor, Jusco Cheras Selatan Shopping Centre, 43200, Kajang, Selangor, Malaysia",3.033158,101.764796
McDonald's Sri Manjung DT,"PT Lot 10414, Jalan Lumut, Taman Samudera, 32040, Sri Manjung, Perak, Malaysia",4.199501,100.655317
McDonald's Jalan Gopeng DT ,"PT 215040, Jalan Raja Dr. Nazrin Shah, Kampung Rapat, 31350, Ipoh, Perak, Malaysia",4.572541,101.112663
McDonald's Section 22 Shah Alam DT,"No.2, Jalan 22/6, Seksyen 22, 40300, Shah Alam, Selangor, Malaysia",3.040269,101.547442
McDonald's Petronas Melati DT,"Lot 3644 HS (D) 70344 &, Lot PT 8081 HS (D) 107241, Taman Melati, Mukim Setapak, 53100, , Kuala Lumpur, Malaysia",3.225081,101.728811
McDonald's Banting DT,"No. 2 Jalan Cemerlang 4, 42500, Banting, Selangor, Malaysia",2.812947,101.507967
McDonald's AEON Bukit Tinggi,"AEON Bukit Tinggi Shopping Centre, No. 1, Persiaran Batu Nilam 1/KS6, Bandar Bukit Tinggi 2, 41200, Klang, Selangor, Malaysia",2.994385,101.44478
McDonald's Caltex Farlim DT,"Caltex Farlim Petrol station, Lot No.9435, Mukim 13, North East District, 11500, Pulau Pinang, Pulau Pinang, Malaysia",5.387541,100.276764
McDonald's Melaka Sentral,"Lot No.59 Zone D Ground Floor, Plaza Melaka Sentral, 75400, , Melaka, Malaysia",2.221594,102.250044
McDonald's 1 Borneo Mall,"Concourse Floor, 1 Borneo Mall, Lot No. C215 - C218 & Part of D219, 88871, Kota Kinabalu, Sabah, Malaysia",6.035871,116.129243
McDonald's Rahman Putra DT,"No. 4, Lot 33428, Jalan BRP 3/3, Bukit Rahman Putra, Seksyen U20, 40160, Shah Alam, Selangor, Malaysia",3.224591,101.556644
McDonald's Shell Jalan Cheras DT,"Lot PT 7430, HSD 111856, KM5.5, Jalan Cheras, 56000, Cheras, Kuala Lumpur, Malaysia",3.105027,101.732818
McDonald's Kuching International Airport,"No L 103 - L 106, Public Arrival Concourse, Jalan Lapangan Terbang, 93728, Kuching, Sarawak, Malaysia",1.486747,110.341944
McDonald's KK Airport,"Lot No. L3 - L14, Public Concourse, Departure Level Terminal 1, Kota Kinabalu International Airport, 88100, Kota Kinabalu, Sabah, Malaysia",5.938831,116.052512
McDonald's Penang International Airport,"Lot PC 05, Departure Level, Penang International Airport, 11900, Bayan Lepas, Pulau Pinang, Malaysia",5.291903,100.266147
McDonald's Labuan Airport,"Lot No. L1L04 - L1L06, Labuan Airport, Arrival Hall 1, Terminal Building, Labuan, 80569, Labuan, Labuan, Malaysia",5.293603,115.257833
McDonald's Sri Alam Masai DT,"Lot PTD 174172, Jalan Seri Alam, Bandar Seri Alam, 81750, Masai, Johor, Malaysia",1.49618,103.870825
McDonald's Bandar Baru Bangi DT,"PTD 68518, Persiaran Bangi, 43650, Bandar Baru Bangi, Selangor, Malaysia",2.96183,101.7581
McDonald's Batu Pahat DT,"Lot PTD 48029, Taman Flora Utama, Jalan Tan Swee Hoe, 83000, Batu Pahat, Johor, Malaysia",1.865164,102.947125
McDonald's Teluk Intan DT,"Lot 5017 McDonald's, Jalan Changkat Jong, 36000, Teluk Intan, Perak, Malaysia",4.017322,101.027429
McDonald's Taiping Sentral,"Lot G-21 and G-22, Ground Floor, Taiping Sentral, No 36, Jalan Istana Larut, 34000, Taiping, Perak, Malaysia",4.866401,100.730112
McDonald's Gurney Plaza,"Unit No. 170 - G - 75 & 170 - 01 - 73, Plaza Gurney, Persiaran Gurney, 10250, Persiaran Gurney, Pulau Pinang, Malaysia",5.4382,100.309953
McDonald's Klang Sentral,"No.2, Jalan Klang Sentral/KU05, Bukit Raja, Meru, 41050, Klang, Selangor, Malaysia",3.110293,101.441161
McDonald's Petronas KLIA DT,"Lot PT 3906, Jalan Terminal KLIA, 64000, Sepang, Selangor, Malaysia",2.764748,101.683455
McDonald's Prima Saujana Kajang DT,"Lot PT 52317, Prima Saujana, Kajang, 43000, Kajang, Selangor, Malaysia",3.007582,101.804373
McDonald's Melaka Mall DT,"Lot PT 3368, Leboh Ayeh Keroh, Bukit Baru, Melaka Tengah, 75450, , Melaka, Malaysia",2.231577,102.281301
McDonald's Dataran Pahlawan 2,"FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jalan Merdeka, 75000, Bandar Hilir, Melaka, Malaysia",2.189972,102.252596
McDonald's KB Mall,"Lot No. 29A & 30, Ground Floor, KB Mall, Jalan Hamzah, 15050, Kota Bharu, Kelantan, Malaysia",6.086972,102.238882
McDonald's Puchong Gateway DT,"Lot No. 48733, Mukim Petaling LDP Puchong Gateway, 47100, Puchong, Selangor, Malaysia",2.981789,101.648323
McDonald's Subang SkyPark,"Unit KG7, Subang SkyPark, Terminal 3, Lapangan Terbang Sultan Abdul Aziz Shah, 47200, Subang, Selangor, Malaysia",3.133779,101.553466
McDonald's Bandar Perda DT ,"No.1220, Jalan Perda Utama, Bandar Perda, 14000, Bukit Mertajam, Pulau Pinang, Malaysia",5.368169,100.42421
McDonald's Pasir Gudang DT,"Lot PT 69990, HSD 124966, Jalan Bandar, Plentong, Bandar Baru Pasir Gudang, 81750, Pasir Gudang, Johor, Malaysia",1.469893,103.905062
McDonald's Kota Tinggi,"Block A, Lot 2 Aras 1, Aras 2 dan Lot 1 Aras 1, Jalan Niaga 11, Kota Tinggi, 81900, Kota Tinggi, Johor, Malaysia",1.729858,103.902449
McDonald's Sunway Ipoh City DT,"Lot 303521, Sunway Ipoh, Mukim Hulu Kinta, Daerah Kinta, 31150, Ipoh, Perak, Malaysia",4.625071,101.151713
McDonald's Taman Dagang DT,"Petronas Taman Dagang, PT 12671, Jalan Nirwana, Taman Nirwana, 68000, Ampang, Selangor, Malaysia",3.145167,101.755248
McDonald's Putra Nilai DT,"PT1134, Persiaran Pusat Bandar, 71800, Nilai, Negeri Sembilan, Malaysia",2.822468,101.793541
McDonald's Petronas MRR2 Kepong DT,"Petronas MRR2 Kepong, Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100, Kepong, Kuala Lumpur, Malaysia",3.229164,101.655048
McDonald's Bukit Indah DT,"No. 57, Jalan Indah 15/2, Bukit Indah, 81200, Johor Bahru, Johor, Malaysia",1.481611,103.657827
McDonald's Pengkalan DT,"No. 686, Jalan Pasir Puteh, Pengkalan Pegoh, 31500, Ipoh, Perak, Malaysia",4.542057,101.070223
McDonald's Puncak Alam DT,"Lot 7094, HSD 6165, PT10655, Mukim of Ijok, 45620, Kuala Selangor, Selangor, Malaysia",3.22169,101.447853
McDonald's Kampar DT,"Sebahagian Lot No. 126028, Jalan Batu Sinar, Taman Bandar Baru Kampar, 31900, Kampar, Perak, Malaysia",4.326091,101.145019
McDonald's 1 Utama,"Lot LG 221, Lower Ground Floor, One Utama Shopping Centre, Lebuh Bandar Utama, Bandar Utama, 47800, Petaling Jaya, Selangor, Malaysia",3.148483,101.616856
